Leeftijd,Marges,Perioden,Wijken.en.buurten,Regioaanduiding.Gemeentenaam..naam.,Regioaanduiding.Soort.regio..omschrijving.,Regioaanduiding.Codering..code.,Ervaren.gezondheid..goed.zeer.goed.....,Bewegen.Voldoet.aan.beweegrichtlijn....,Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....,Roker....,Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....,Alcoholgebruik.Drinker....,Alcoholgebruik.Zware.drinker....,Alcoholgebruik.Overmatige.drinker....,Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....,Psychische.klachten....,Veerkracht..Zeer..lage.veerkracht....,Hoog.risico.op.angst.of.depressie....,Eenzaamheid.Ernstig.zeer.ernstig.eenzaam....
18 jaar of ouder,Waarde,2020,Verspr. huizen Ouderkerk Oost,Krimpenerwaard                          ,Buurt     ,BU19310209          ,    87.6,    47.0,    11.0,    10.7,    48.9,    82.3,     6.3,     6.3,    23.5,       .,       .,     2.6,     5.0
18 jaar of ouder,Waarde,2020,Wijk 03 Gouderak,Krimpenerwaard                          ,Wijk      ,WK193103            ,    81.0,    45.6,    16.0,    16.8,    46.4,    78.1,     7.1,     6.0,    31.7,       .,       .,     5.8,     9.5
18 jaar of ouder,Waarde,2020,Gouderak,Krimpenerwaard                          ,Buurt     ,BU19310300          ,    81.0,    45.6,    16.0,    16.8,    46.4,    78.1,     7.1,     6.0,    31.7,       .,       .,     5.8,     9.5
18 jaar of ouder,Waarde,2020,Wijk 04 Bergambacht,Krimpenerwaard                          ,Wijk      ,WK193104            ,    80.7,    45.2,    15.4,    13.9,    49.8,    78.2,     5.8,     5.6,    31.2,       .,       .,     5.1,     9.4
18 jaar of ouder,Waarde,2020,Bergambacht-Dorp,Krimpenerwaard                          ,Buurt     ,BU19310400          ,    80.0,    44.4,    14.9,    12.8,    48.3,    80.4,     5.8,     5.9,    32.3,       .,       .,     4.5,     9.1
18 jaar of ouder,Waarde,2020,Kadijk en Kadijkselaan,Krimpenerwaard                          ,Buurt     ,BU19310401          ,    86.7,    49.0,    12.2,    13.3,    46.2,    82.4,     7.6,     6.7,    23.9,       .,       .,     4.0,     7.2
18 jaar of ouder,Waarde,2020,Uitbreiding Dorp,Krimpenerwaard                          ,Buurt     ,BU19310402          ,    79.4,    44.9,    16.6,    15.1,    51.4,    76.1,     5.6,     5.2,    32.2,       .,       .,     5.9,    10.3
18 jaar of ouder,Waarde,2020,Benedenberg en Zuidbroek,Krimpenerwaard                          ,Buurt     ,BU19310403          ,    86.4,    46.2,    11.4,    10.4,    46.0,    82.8,     6.7,     6.4,    25.6,       .,       .,     2.6,     5.7
18 jaar of ouder,Waarde,2020,Tussenlanen,Krimpenerwaard                          ,Buurt     ,BU19310404          ,    87.6,    49.9,    10.2,    10.3,    46.0,    83.9,     6.8,     6.3,    26.7,       .,       .,     2.7,     5.6
18 jaar of ouder,Waarde,2020,Bovenberg westelijk van de Fransekade,Krimpenerwaard                          ,Buurt     ,BU19310409          ,    88.1,    49.7,    11.5,    11.3,    43.4,    85.7,     6.5,     6.3,    27.1,       .,       .,     2.8,     5.3
18 jaar of ouder,Waarde,2020,Wijk 05 Bergstoep,Krimpenerwaard                          ,Wijk      ,WK193105            ,    84.2,    46.2,    13.7,    12.6,    45.2,    82.0,     6.8,     6.0,    29.1,       .,       .,     3.8,     7.4
18 jaar of ouder,Waarde,2020,Bergstoep,Krimpenerwaard                          ,Buurt     ,BU19310500          ,    84.1,    46.2,    13.9,    13.1,    45.3,    81.7,     6.8,     5.8,    28.8,       .,       .,     4.1,     7.8
18 jaar of ouder,Waarde,2020,Lekdijk-West en Provinciale weg (ged.),Krimpenerwaard                          ,Buurt     ,BU19310501          ,    86.0,    45.4,    12.7,    10.7,    43.5,    82.5,     7.0,     6.8,    27.0,       .,       .,     2.9,     6.1
18 jaar of ouder,Waarde,2020,Lekdijk-Oost en Provinciale weg (ged.),Krimpenerwaard                          ,Buurt     ,BU19310502          ,    86.9,    48.9,    11.5,    14.6,    40.2,    83.6,     7.6,     6.0,    28.0,       .,       .,     3.1,     7.1
18 jaar of ouder,Waarde,2020,Bovenstad,Krimpenerwaard                          ,Buurt     ,BU19310503          ,    82.8,    46.6,    14.2,    10.7,    47.1,    83.0,     6.0,     6.8,    33.2,       .,       .,     3.3,     6.3
18 jaar of ouder,Waarde,2020,Provinciale weg (ged.) De Hem en Hogedij,Krimpenerwaard                          ,Buurt     ,BU19310504          ,    84.4,    43.8,    12.0,    11.0,    47.0,    81.8,     7.4,     6.2,    28.8,       .,       .,     2.4,     5.3
18 jaar of ouder,Waarde,2020,Wijk 06 Ammerstol,Krimpenerwaard                          ,Wijk      ,WK193106            ,    80.7,    44.1,    16.8,    16.1,    45.8,    79.8,     6.9,     6.3,    32.9,       .,       .,     5.0,     8.7
18 jaar of ouder,Waarde,2020,Ammerstol,Krimpenerwaard                          ,Buurt     ,BU19310600          ,    80.7,    44.1,    16.8,    16.1,    45.8,    79.8,     6.9,     6.3,    32.9,       .,       .,     5.0,     8.7
18 jaar of ouder,Waarde,2020,Wijk 07 Berkenwoude,Krimpenerwaard                          ,Wijk      ,WK193107            ,    85.1,    45.1,    12.3,    11.9,    46.2,    80.2,     6.5,     6.5,    25.7,       .,       .,     3.8,     6.3
18 jaar of ouder,Waarde,2020,Berkenwoude,Krimpenerwaard                          ,Buurt     ,BU19310700          ,    84.6,    44.5,    12.6,    12.1,    45.5,    81.5,     6.6,     6.7,    26.3,       .,       .,     3.8,     6.3
18 jaar of ouder,Waarde,2020,Achterbroek,Krimpenerwaard                          ,Buurt     ,BU19310701          ,    88.0,    48.8,    10.6,    10.5,    50.2,    73.1,     5.9,     5.5,    22.3,       .,       .,     3.7,     6.4
18 jaar of ouder,Waarde,2020,Wijk 08 Haastrecht,Krimpenerwaard                          ,Wijk      ,WK193108            ,    81.4,    47.0,    14.0,    13.8,    45.2,    80.6,     8.1,     6.9,    32.1,       .,       .,     4.5,     7.9
18 jaar of ouder,Waarde,2020,Haastrecht-Dorpskern,Krimpenerwaard                          ,Buurt     ,BU19310800          ,    85.3,    50.1,    12.5,    13.7,    41.1,    84.0,     8.8,     7.6,    29.7,       .,       .,     4.1,     7.1
18 jaar of ouder,Waarde,2020,Boven-Haastrecht,Krimpenerwaard                          ,Buurt     ,BU19310801          ,    87.6,    48.6,    10.6,    13.2,    40.3,    85.0,     7.8,     6.2,    24.2,       .,       .,     2.7,     5.3
18 jaar of ouder,Waarde,2020,Beneden-Haastrecht,Krimpenerwaard                          ,Buurt     ,BU19310802          ,    85.6,    51.8,    10.7,    12.2,    44.9,    82.6,     7.1,     6.1,    28.9,       .,       .,     3.8,     6.3
18 jaar of ouder,Waarde,2020,Rozendaal,Krimpenerwaard                          ,Buurt     ,BU19310803          ,    83.8,    44.9,    12.7,    11.3,    43.7,    79.0,     7.8,     7.5,    26.7,       .,       .,     2.3,     8.1
18 jaar of ouder,Waarde,2020,Stolwijkersluis (ged.),Krimpenerwaard                          ,Buurt     ,BU19310804          ,    83.2,    47.2,    13.3,    14.6,    48.3,    79.3,     5.6,     5.1,    31.0,       .,       .,     4.6,     6.1
18 jaar of ouder,Waarde,2020,Hofkamp,Krimpenerwaard                          ,Buurt     ,BU19310805          ,    78.0,    44.5,    12.5,    10.6,    50.3,    77.7,     6.2,     7.0,    34.7,       .,       .,     3.9,     8.5
18 jaar of ouder,Waarde,2020,Agterpoort,Krimpenerwaard                          ,Buurt     ,BU19310806          ,    78.2,    44.4,    16.5,    16.4,    47.8,    78.0,     9.0,     7.3,    35.4,       .,       .,     5.5,    10.0
18 jaar of ouder,Waarde,2020,Stein,Krimpenerwaard                          ,Buurt     ,BU19310807          ,    77.0,    43.6,    16.4,    14.3,    49.0,    76.8,     7.6,     6.8,    35.8,       .,       .,     5.2,     8.6
18 jaar of ouder,Waarde,2020,Verspr. huizen Haastrecht Noord,Krimpenerwaard                          ,Buurt     ,BU19310808          ,    86.6,    51.7,    10.5,    12.1,    41.2,    84.8,     9.2,     7.6,    25.2,       .,       .,     3.2,     5.8
18 jaar of ouder,Waarde,2020,Verspr. huizen Haastrecht Zuid,Krimpenerwaard                          ,Buurt     ,BU19310809          ,    87.3,    49.4,     9.5,    11.9,    41.3,    84.6,     8.7,     7.3,    24.7,       .,       .,     2.7,     5.0
18 jaar of ouder,Waarde,2020,Bergvliet,Krimpenerwaard                          ,Buurt     ,BU19310810          ,    83.2,    49.9,    13.9,    14.2,    41.8,    83.5,     9.0,     6.7,    31.2,       .,       .,     5.2,     8.2
18 jaar of ouder,Waarde,2020,Wijk 10 Stolwijk,Krimpenerwaard                          ,Wijk      ,WK193110            ,    82.4,    47.3,    14.0,    13.7,    45.9,    79.7,     7.8,     6.3,    29.6,       .,       .,     4.4,     7.8
18 jaar of ouder,Waarde,2020,Stolwijk,Krimpenerwaard                          ,Buurt     ,BU19311000          ,    80.8,    46.9,    15.3,    14.5,    47.0,    78.5,     7.9,     6.0,    31.0,       .,       .,     4.9,     8.5
18 jaar of ouder,Waarde,2020,Bovenkerk,Krimpenerwaard                          ,Buurt     ,BU19311001          ,    86.7,    49.3,    12.1,    13.4,    39.5,    85.0,     8.8,     6.7,    26.5,       .,       .,     4.0,     6.2
18 jaar of ouder,Waarde,2020,Benedenkerk,Krimpenerwaard                          ,Buurt     ,BU19311002          ,    85.4,    48.1,    10.7,    10.7,    43.5,    83.2,     7.7,     6.6,    26.8,       .,       .,     2.6,     7.2
18 jaar of ouder,Waarde,2020,Benedenheul,Krimpenerwaard                          ,Buurt     ,BU19311003          ,    87.1,    48.0,     9.6,    11.2,    45.5,    81.0,     7.9,     7.7,    24.1,       .,       .,     2.9,     5.3
18 jaar of ouder,Waarde,2020,Goudseweg,Krimpenerwaard                          ,Buurt     ,BU19311004          ,    86.3,    50.6,     9.6,    14.8,    45.6,    83.8,     6.4,     6.8,    26.5,       .,       .,     2.9,     4.7
18 jaar of ouder,Waarde,2020,Het Beijersche,Krimpenerwaard                          ,Buurt     ,BU19311005          ,    86.9,    47.5,    11.1,    11.7,    43.0,    81.9,     8.2,     7.5,    25.6,       .,       .,     3.1,     5.5
18 jaar of ouder,Waarde,2020,Koolwijk,Krimpenerwaard                          ,Buurt     ,BU19311006          ,    87.5,    46.6,    10.3,    10.7,    44.7,    82.5,     5.4,     8.5,    23.7,       .,       .,     2.7,     5.2
18 jaar of ouder,Waarde,2020,Schoonouwen,Krimpenerwaard                          ,Buurt     ,BU19311007          ,    86.6,    48.6,    10.1,    12.1,    44.3,    81.5,     6.1,     6.1,    28.8,       .,       .,     3.1,     7.1
18 jaar of ouder,Waarde,2020,Bilwijk,Krimpenerwaard                          ,Buurt     ,BU19311008          ,    86.9,    50.3,     9.0,     9.3,    45.2,    82.2,     7.8,     6.9,    26.0,       .,       .,     2.5,     4.9
18 jaar of ouder,Waarde,2020,Wijk 11 Vlist,Krimpenerwaard                          ,Wijk      ,WK193111            ,    83.8,    47.2,    11.7,    13.3,    45.6,    79.6,     7.0,     6.0,    27.3,       .,       .,     3.8,     7.2
18 jaar of ouder,Waarde,2020,Vlist,Krimpenerwaard                          ,Buurt     ,BU19311100          ,    83.1,    47.9,    11.8,    14.6,    43.7,    79.0,     7.5,     6.3,    27.2,       .,       .,     4.4,     7.8
18 jaar of ouder,Waarde,2020,Bonrepas,Krimpenerwaard                          ,Buurt     ,BU19311101          ,    86.5,    44.8,    11.2,     8.3,    53.4,    81.8,     5.3,     5.0,    27.7,       .,       .,     1.8,     4.9
18 jaar of ouder,Waarde,2020,Wijk 12 Schoonhoven,Krimpenerwaard                          ,Wijk      ,WK193112            ,    80.2,    46.7,    15.6,    15.2,    49.6,    76.1,     6.1,     5.3,    32.5,       .,       .,     6.0,     9.9
18 jaar of ouder,Waarde,2020,Schoonhoven-Oude Stad,Krimpenerwaard                          ,Buurt     ,BU19311200          ,    80.1,    46.7,    14.9,    16.2,    46.0,    80.0,     6.8,     5.9,    33.2,       .,       .,     6.1,    10.1
18 jaar of ouder,Waarde,2020,Schoonhoven-Noord,Krimpenerwaard                          ,Buurt     ,BU19311201          ,    75.5,    44.0,    18.0,    16.4,    57.3,    67.0,     5.6,     4.6,    35.5,       .,       .,     7.5,    12.1
18 jaar of ouder,Waarde,2020,Schoonhoven-West,Krimpenerwaard                          ,Buurt     ,BU19311202          ,    79.2,    46.1,    16.5,    14.5,    53.3,    72.5,     5.6,     5.3,    33.8,       .,       .,     6.0,    10.0
18 jaar of ouder,Waarde,2020,Zevender,Krimpenerwaard                          ,Buurt     ,BU19311203          ,    87.6,    50.6,    12.5,    13.8,    39.8,    86.2,     7.3,     5.9,    26.3,       .,       .,     3.7,     8.0
18 jaar of ouder,Waarde,2020,Willige-Langerak,Krimpenerwaard                          ,Buurt     ,BU19311204          ,    84.8,    49.4,    13.7,    14.1,    43.7,    82.5,     6.3,     5.1,    27.7,       .,       .,     4.9,     7.7
18 jaar of ouder,Waarde,2020,"Vlist, Bovenberg en Lekdijk",Krimpenerwaard                          ,Buurt     ,BU19311205          ,    86.7,    51.0,    11.2,    11.2,    43.3,    85.2,     6.7,     5.7,    26.6,       .,       .,     3.3,     6.1
18 jaar of ouder,Waarde,2020,Rotterdam,Rotterdam                               ,Gemeente  ,GM0599              ,    74.3,    44.8,    17.6,    21.6,    51.8,    68.4,     8.0,     5.4,    32.7,       .,       .,    10.1,    16.1
18 jaar of ouder,Waarde,2020,Rotterdam Centrum,Rotterdam                               ,Wijk      ,WK059901            ,    79.3,    50.4,    12.0,    21.4,    38.2,    78.1,    12.0,     7.1,    28.1,       .,       .,     9.2,    15.0
18 jaar of ouder,Waarde,2020,Stadsdriehoek,Rotterdam                               ,Buurt     ,BU05990110          ,    82.3,    51.9,    10.4,    21.1,    32.7,    83.7,    13.0,     8.0,    26.4,       .,       .,     7.9,    13.5
18 jaar of ouder,Waarde,2020,Oude Westen,Rotterdam                               ,Buurt     ,BU05990111          ,    70.4,    46.8,    16.3,    22.5,    53.0,    62.2,     9.9,     5.6,    33.8,       .,       .,    12.2,    18.8
18 jaar of ouder,Waarde,2020,Cool,Rotterdam                               ,Buurt     ,BU05990112          ,    80.6,    50.6,    11.4,    21.7,    36.1,    80.6,    12.4,     6.9,    26.7,       .,       .,     9.0,    14.8
18 jaar of ouder,Waarde,2020,Cs Kwartier,Rotterdam                               ,Buurt     ,BU05990113          ,    84.9,    53.3,     9.9,    19.8,    36.4,    84.6,    11.9,     7.4,    24.0,       .,       .,     7.1,    14.2
18 jaar of ouder,Waarde,2020,Nieuwe Werk,Rotterdam                               ,Buurt     ,BU05990118          ,    85.7,    51.1,     9.6,    17.5,    29.0,    89.2,    10.7,     6.8,    24.5,       .,       .,     6.8,    11.1
18 jaar of ouder,Waarde,2020,Dijkzigt,Rotterdam                               ,Buurt     ,BU05990119          ,    84.7,    55.0,    11.3,    23.9,    27.3,    88.2,    15.0,     7.6,    21.0,       .,       .,    10.7,    13.7
18 jaar of ouder,Waarde,2020,Delfshaven,Rotterdam                               ,Wijk      ,WK059903            ,    72.8,    48.4,    16.9,    23.8,    54.9,    61.8,     8.7,     5.0,    31.3,       .,       .,    12.2,    18.2
18 jaar of ouder,Waarde,2020,Delfshaven,Rotterdam                               ,Buurt     ,BU05990320          ,    76.5,    50.5,    15.2,    24.6,    43.4,    73.8,    10.6,     5.8,    28.1,       .,       .,    11.6,    16.7
18 jaar of ouder,Waarde,2020,Bospolder,Rotterdam                               ,Buurt     ,BU05990321          ,    66.8,    45.6,    20.7,    24.7,    64.2,    51.6,     7.0,     3.9,    35.0,       .,       .,    14.4,    20.6
18 jaar of ouder,Waarde,2020,Tussendijken,Rotterdam                               ,Buurt     ,BU05990322          ,    66.8,    46.8,    19.4,    26.0,    62.2,    53.3,     8.2,     4.4,    35.1,       .,       .,    14.8,    21.1
18 jaar of ouder,Waarde,2020,Spangen,Rotterdam                               ,Buurt     ,BU05990323          ,    70.0,    46.0,    19.3,    23.8,    66.7,    48.7,     6.4,     3.6,    32.2,       .,       .,    13.5,    19.7
18 jaar of ouder,Waarde,2020,Nieuwe Westen,Rotterdam                               ,Buurt     ,BU05990324          ,    73.6,    50.3,    15.7,    23.1,    54.5,    62.0,     9.4,     5.5,    30.9,       .,       .,    12.0,    17.6
18 jaar of ouder,Waarde,2020,Middelland,Rotterdam                               ,Buurt     ,BU05990325          ,    77.9,    52.1,    13.0,    22.4,    42.9,    72.9,    11.3,     6.5,    28.3,       .,       .,    10.3,    15.7
18 jaar of ouder,Waarde,2020,Oud Mathenesse,Rotterdam                               ,Buurt     ,BU05990327          ,    73.9,    45.5,    17.3,    27.2,    53.4,    67.5,     8.0,     5.0,    30.7,       .,       .,    11.4,    19.6
18 jaar of ouder,Waarde,2020,Witte Dorp,Rotterdam                               ,Buurt     ,BU05990328          ,    65.4,    43.1,    23.6,    23.4,    68.2,    46.3,     5.5,     4.5,    38.4,       .,       .,    12.6,    19.4
18 jaar of ouder,Waarde,2020,Schiemond,Rotterdam                               ,Buurt     ,BU05990329          ,    72.9,    44.9,    18.6,    19.4,    57.2,    61.8,     5.9,     3.9,    32.5,       .,       .,    10.3,    16.7
18 jaar of ouder,Waarde,2020,Overschie,Rotterdam                               ,Wijk      ,WK059904            ,    77.3,    45.6,    16.9,    17.9,    51.3,    71.4,     6.4,     4.8,    32.2,       .,       .,     8.1,    13.7
18 jaar of ouder,Waarde,2020,Kleinpolder,Rotterdam                               ,Buurt     ,BU05990451          ,    71.5,    42.2,    19.8,    20.2,    61.1,    59.9,     5.8,     4.2,    35.8,       .,       .,    10.5,    17.4
18 jaar of ouder,Waarde,2020,Noord Kethel,Rotterdam                               ,Buurt     ,BU05990452          ,    83.9,    46.1,    11.4,    10.0,    44.6,    85.4,     6.5,     6.9,    30.3,       .,       .,     2.5,     7.9
18 jaar of ouder,Waarde,2020,Schieveen,Rotterdam                               ,Buurt     ,BU05990454          ,    83.7,    48.3,    12.0,    10.6,    42.5,    85.0,     7.4,     7.4,    28.1,       .,       .,     3.6,     6.5
18 jaar of ouder,Waarde,2020,Zestienhoven,Rotterdam                               ,Buurt     ,BU05990455          ,    88.0,    51.1,    10.7,    11.3,    39.3,    84.4,     5.5,     4.1,    22.7,       .,       .,     4.2,     7.9
18 jaar of ouder,Waarde,2020,Overschie,Rotterdam                               ,Buurt     ,BU05990456          ,    79.4,    47.3,    16.1,    18.1,    46.1,    77.9,     7.2,     5.6,    31.6,       .,       .,     7.2,    12.3
18 jaar of ouder,Waarde,2020,Landzicht,Rotterdam                               ,Buurt     ,BU05990457          ,    67.9,    40.6,    24.4,    26.3,    50.0,    71.4,     7.9,     6.5,    43.3,       .,       .,    10.6,    15.8
18 jaar of ouder,Waarde,2020,Noord,Rotterdam                               ,Wijk      ,WK059905            ,    77.1,    51.9,    13.5,    22.3,    43.0,    73.3,    10.8,     6.6,    29.9,       .,       .,    10.2,    15.6
18 jaar of ouder,Waarde,2020,Agniesebuurt,Rotterdam                               ,Buurt     ,BU05990515          ,    73.2,    50.6,    15.8,    24.2,    50.3,    65.0,    10.5,     6.2,    32.2,       .,       .,    12.2,    18.2
18 jaar of ouder,Waarde,2020,Provenierswijk,Rotterdam                               ,Buurt     ,BU05990516          ,    77.6,    51.9,    13.1,    22.6,    43.2,    73.5,    11.3,     6.9,    29.2,       .,       .,    10.5,    16.2
18 jaar of ouder,Waarde,2020,Bergpolder,Rotterdam                               ,Buurt     ,BU05990531          ,    81.4,    56.5,    11.0,    23.7,    33.8,    81.9,    12.8,     7.0,    26.6,       .,       .,     9.3,    14.3
18 jaar of ouder,Waarde,2020,Blijdorp,Rotterdam                               ,Buurt     ,BU05990532          ,    83.3,    54.1,    10.0,    18.6,    32.6,    86.5,    11.0,     7.0,    26.3,       .,       .,     6.7,    11.3
18 jaar of ouder,Waarde,2020,Liskwartier,Rotterdam                               ,Buurt     ,BU05990534          ,    76.7,    51.5,    13.6,    20.8,    44.0,    72.4,    10.1,     6.7,    30.7,       .,       .,     9.6,    14.9
18 jaar of ouder,Waarde,2020,Oude Noorden,Rotterdam                               ,Buurt     ,BU05990535          ,    71.8,    48.7,    16.7,    24.0,    52.2,    62.6,     9.8,     6.0,    33.3,       .,       .,    12.5,    18.4
18 jaar of ouder,Waarde,2020,Blijdorpsepolder,Rotterdam                               ,Buurt     ,BU05990558          ,    73.0,    46.0,    18.6,    18.4,    38.7,    83.1,     7.9,     7.0,    40.9,       .,       .,     9.8,    10.3
18 jaar of ouder,Waarde,2020,Hillegersberg-Schiebroek,Rotterdam                               ,Wijk      ,WK059906            ,    78.8,    48.4,    14.3,    15.9,    45.1,    78.2,     7.0,     5.8,    31.7,       .,       .,     6.9,    12.2
18 jaar of ouder,Waarde,2020,Schiebroek,Rotterdam                               ,Buurt     ,BU05990660          ,    74.0,    47.6,    16.9,    18.7,    52.6,    69.4,     6.4,     5.0,    34.5,       .,       .,     9.2,    15.5
18 jaar of ouder,Waarde,2020,Hillegersberg Zuid,Rotterdam                               ,Buurt     ,BU05990661          ,    83.7,    53.1,    11.9,    17.0,    35.5,    85.5,     8.6,     6.2,    27.1,       .,       .,     6.0,    10.3
18 jaar of ouder,Waarde,2020,Hillegersberg Noord,Rotterdam                               ,Buurt     ,BU05990662          ,    77.0,    45.1,    14.6,    15.6,    46.4,    78.8,     7.0,     7.0,    34.4,       .,       .,     6.7,    12.4
18 jaar of ouder,Waarde,2020,Terbregge,Rotterdam                               ,Buurt     ,BU05990664          ,    83.5,    47.7,    14.1,    13.8,    40.6,    83.3,     7.0,     5.6,    28.7,       .,       .,     5.2,     9.1
18 jaar of ouder,Waarde,2020,Molenlaankwartier,Rotterdam                               ,Buurt     ,BU05990665          ,    83.5,    48.8,    10.9,    10.2,    40.3,    86.0,     6.5,     5.7,    29.4,       .,       .,     4.1,     8.5
18 jaar of ouder,Waarde,2020,Kralingen-Crooswijk,Rotterdam                               ,Wijk      ,WK059908            ,    76.1,    48.5,    13.8,    21.7,    44.3,    72.4,    10.6,     6.8,    30.4,       .,       .,    10.4,    16.2
18 jaar of ouder,Waarde,2020,Rubroek,Rotterdam                               ,Buurt     ,BU05990814          ,    73.1,    48.7,    15.5,    23.3,    47.1,    68.5,    11.1,     6.7,    32.5,       .,       .,    11.6,    17.5
18 jaar of ouder,Waarde,2020,Nieuw Crooswijk,Rotterdam                               ,Buurt     ,BU05990836          ,    76.8,    50.6,    13.5,    22.4,    45.7,    69.8,     9.5,     5.7,    29.6,       .,       .,    10.9,    15.6
18 jaar of ouder,Waarde,2020,Oud Crooswijk,Rotterdam                               ,Buurt     ,BU05990837          ,    66.4,    46.2,    19.5,    25.4,    59.5,    54.5,     9.0,     5.6,    36.9,       .,       .,    14.7,    20.4
18 jaar of ouder,Waarde,2020,Kralingen West,Rotterdam                               ,Buurt     ,BU05990841          ,    75.7,    49.4,    13.4,    22.2,    43.4,    71.5,    12.0,     7.5,    30.5,       .,       .,    10.3,    16.1
18 jaar of ouder,Waarde,2020,Kralingen Oost,Rotterdam                               ,Buurt     ,BU05990842          ,    85.1,    51.2,     8.6,    15.9,    32.3,    87.7,     9.5,     7.1,    24.5,       .,       .,     6.3,    11.5
18 jaar of ouder,Waarde,2020,Kralingse Bos,Rotterdam                               ,Buurt     ,BU05990843          ,    76.3,    41.9,    20.2,    19.9,    45.8,    78.1,     7.8,     6.7,    35.0,       .,       .,     6.8,    11.1
18 jaar of ouder,Waarde,2020,De Esch,Rotterdam                               ,Buurt     ,BU05990845          ,    73.8,    40.5,    17.7,    20.2,    51.5,    71.0,     7.3,     5.2,    33.8,       .,       .,    10.3,    17.3
18 jaar of ouder,Waarde,2020,Struisenburg,Rotterdam                               ,Buurt     ,BU05990847          ,    83.0,    50.9,     9.1,    21.4,    32.5,    84.7,    12.8,     7.8,    24.4,       .,       .,     8.6,    15.3
18 jaar of ouder,Waarde,2020,Feijenoord,Rotterdam                               ,Wijk      ,WK059910            ,    69.5,    41.5,    21.1,    24.7,    60.9,    55.5,     7.0,     4.5,    34.4,       .,       .,    13.1,    19.9
18 jaar of ouder,Waarde,2020,Kop van Zuid,Rotterdam                               ,Buurt     ,BU05991017          ,    85.5,    50.2,    11.4,    18.7,    32.2,    85.3,     9.2,     5.6,    22.5,       .,       .,     7.9,    12.9
18 jaar of ouder,Waarde,2020,Kop van Zuid - Entrepot,Rotterdam                               ,Buurt     ,BU05991079          ,    73.0,    42.5,    18.9,    20.6,    56.1,    61.3,     6.9,     4.7,    32.9,       .,       .,    10.7,    17.3
18 jaar of ouder,Waarde,2020,Vreewijk,Rotterdam                               ,Buurt     ,BU05991080          ,    66.1,    38.9,    23.1,    25.7,    59.8,    60.9,     7.1,     5.6,    39.2,       .,       .,    12.3,    19.3
18 jaar of ouder,Waarde,2020,Bloemhof,Rotterdam                               ,Buurt     ,BU05991081          ,    68.5,    41.9,    22.4,    28.3,    65.5,    49.7,     7.4,     4.6,    34.3,       .,       .,    15.1,    21.8
18 jaar of ouder,Waarde,2020,Hillesluis,Rotterdam                               ,Buurt     ,BU05991082          ,    69.4,    40.2,    21.8,    26.5,    68.1,    46.2,     6.1,     3.6,    32.6,       .,       .,    14.7,    22.1
18 jaar of ouder,Waarde,2020,Katendrecht,Rotterdam                               ,Buurt     ,BU05991085          ,    76.1,    45.4,    16.4,    19.6,    47.8,    70.1,     8.0,     4.6,    30.4,       .,       .,     9.4,    15.6
18 jaar of ouder,Waarde,2020,Afrikaanderwijk,Rotterdam                               ,Buurt     ,BU05991086          ,    65.3,    39.7,    23.4,    25.2,    70.2,    43.6,     5.8,     3.5,    36.0,       .,       .,    15.4,    21.9
18 jaar of ouder,Waarde,2020,Feijenoord,Rotterdam                               ,Buurt     ,BU05991087          ,    63.7,    40.2,    23.9,    24.9,    70.4,    43.2,     5.3,     3.2,    37.5,       .,       .,    15.8,    23.8
18 jaar of ouder,Waarde,2020,Noordereiland,Rotterdam                               ,Buurt     ,BU05991088          ,    76.5,    45.0,    15.9,    21.6,    41.7,    74.5,    10.0,     6.3,    31.8,       .,       .,     9.4,    15.3
18 jaar of ouder,Waarde,2020,IJsselmonde,Rotterdam                               ,Wijk      ,WK059912            ,    71.5,    38.5,    21.4,    22.4,    59.9,    63.2,     5.9,     4.5,    35.1,       .,       .,    10.3,    16.7
18 jaar of ouder,Waarde,2020,Oud IJsselmonde,Rotterdam                               ,Buurt     ,BU05991283          ,    79.4,    42.0,    17.5,    17.5,    51.1,    73.5,     6.2,     5.2,    30.6,       .,       .,     7.0,    12.0
18 jaar of ouder,Waarde,2020,Lombardijen,Rotterdam                               ,Buurt     ,BU05991284          ,    70.0,    37.8,    22.3,    23.8,    62.6,    58.3,     5.7,     4.1,    35.5,       .,       .,    11.5,    18.7
18 jaar of ouder,Waarde,2020,Groot IJsselmonde,Rotterdam                               ,Buurt     ,BU05991289          ,    70.2,    37.5,    21.4,    22.2,    60.5,    62.9,     6.0,     4.6,    36.4,       .,       .,    10.3,    16.7
18 jaar of ouder,Waarde,2020,Beverwaard,Rotterdam                               ,Buurt     ,BU05991290          ,    72.2,    40.0,    22.2,    23.8,    60.1,    64.3,     5.9,     4.2,    34.1,       .,       .,    10.7,    17.0
18 jaar of ouder,Waarde,2020,Pernis,Rotterdam                               ,Wijk      ,WK059913            ,    77.6,    42.7,    18.9,    18.4,    44.4,    78.4,     7.2,     5.9,    32.6,       .,       .,     6.4,    11.2
18 jaar of ouder,Waarde,2020,Pernis,Rotterdam                               ,Buurt     ,BU05991391          ,    77.6,    42.7,    18.9,    18.4,    44.4,    78.4,     7.2,     5.9,    32.6,       .,       .,     6.4,    11.2
