"","Wijken.en.buurten","Regioaanduiding.Gemeentenaam..naam.","Regioaanduiding.Soort.regio..omschrijving.","Regioaanduiding.Codering..code.","Regioaanduiding.Indelingswijziging.wijken.en.buurten..code.","Horeca.Cafés.en.dergelijke.Afstand.tot.café.e.d...km."
"29","Verspr. huizen Ouderkerk Oost","Krimpenerwaard                          ","Buurt     ","BU19310209","1","2,7"
"30","Wijk 03 Gouderak","Krimpenerwaard                          ","Wijk      ","WK193103  ","1","3,6"
"31","Gouderak","Krimpenerwaard                          ","Buurt     ","BU19310300","1","3,6"
"32","Wijk 04 Bergambacht","Krimpenerwaard                          ","Wijk      ","WK193104  ","1","0,9"
"33","Bergambacht-Dorp","Krimpenerwaard                          ","Buurt     ","BU19310400","1","0,8"
"34","Kadijk en Kadijkselaan","Krimpenerwaard                          ","Buurt     ","BU19310401","1","1,7"
"35","Uitbreiding Dorp","Krimpenerwaard                          ","Buurt     ","BU19310402","1","0,5"
"36","Benedenberg en Zuidbroek","Krimpenerwaard                          ","Buurt     ","BU19310403","1","3,3"
"37","Tussenlanen","Krimpenerwaard                          ","Buurt     ","BU19310404","1","1,7"
"38","Bovenberg westelijk van de Fransekade","Krimpenerwaard                          ","Buurt     ","BU19310409","1","2,3"
"39","Wijk 05 Bergstoep","Krimpenerwaard                          ","Wijk      ","WK193105  ","1","1,4"
"40","Bergstoep","Krimpenerwaard                          ","Buurt     ","BU19310500","1","1,2"
"41","Lekdijk-West en Provinciale weg (ged.)","Krimpenerwaard                          ","Buurt     ","BU19310501","1","3,5"
"42","Lekdijk-Oost en Provinciale weg (ged.)","Krimpenerwaard                          ","Buurt     ","BU19310502","1","1,1"
"43","Bovenstad","Krimpenerwaard                          ","Buurt     ","BU19310503","1","1,1"
"44","Provinciale weg (ged.) De Hem en Hogedij","Krimpenerwaard                          ","Buurt     ","BU19310504","1","1,9"
"45","Wijk 06 Ammerstol","Krimpenerwaard                          ","Wijk      ","WK193106  ","1","0,4"
"46","Ammerstol","Krimpenerwaard                          ","Buurt     ","BU19310600","1","0,4"
"47","Wijk 07 Berkenwoude","Krimpenerwaard                          ","Wijk      ","WK193107  ","1","6"
"48","Berkenwoude","Krimpenerwaard                          ","Buurt     ","BU19310700","1","5,7"
"49","Achterbroek","Krimpenerwaard                          ","Buurt     ","BU19310701","1","7,3"
"50","Wijk 08 Haastrecht","Krimpenerwaard                          ","Wijk      ","WK193108  ","1","0,8"
"51","Haastrecht-Dorpskern","Krimpenerwaard                          ","Buurt     ","BU19310800","1","0,2"
"52","Boven-Haastrecht","Krimpenerwaard                          ","Buurt     ","BU19310801","1","2,3"
"53","Beneden-Haastrecht","Krimpenerwaard                          ","Buurt     ","BU19310802","1","1,8"
"54","Rozendaal","Krimpenerwaard                          ","Buurt     ","BU19310803","1","2,6"
"55","Stolwijkersluis (ged.)","Krimpenerwaard                          ","Buurt     ","BU19310804","1","1,7"
"56","Hofkamp","Krimpenerwaard                          ","Buurt     ","BU19310805","1","0,7"
"57","Agterpoort","Krimpenerwaard                          ","Buurt     ","BU19310806","1","0,4"
"58","Stein","Krimpenerwaard                          ","Buurt     ","BU19310807","1","0,4"
"59","Verspr. huizen Haastrecht Noord","Krimpenerwaard                          ","Buurt     ","BU19310808","1","0,9"
"60","Verspr. huizen Haastrecht Zuid","Krimpenerwaard                          ","Buurt     ","BU19310809","1",""
"61","Bergvliet","Krimpenerwaard                          ","Buurt     ","BU19310810","1","1"
"62","Wijk 10 Stolwijk","Krimpenerwaard                          ","Wijk      ","WK193110  ","1","1,1"
"63","Stolwijk","Krimpenerwaard                          ","Buurt     ","BU19311000","1","0,6"
"64","Bovenkerk","Krimpenerwaard                          ","Buurt     ","BU19311001","1","1"
"65","Benedenkerk","Krimpenerwaard                          ","Buurt     ","BU19311002","1","1,1"
"66","Benedenheul","Krimpenerwaard                          ","Buurt     ","BU19311003","1","3,2"
"67","Goudseweg","Krimpenerwaard                          ","Buurt     ","BU19311004","1","1,5"
"68","Het Beijersche","Krimpenerwaard                          ","Buurt     ","BU19311005","1","4,1"
"69","Koolwijk","Krimpenerwaard                          ","Buurt     ","BU19311006","1","2,3"
"70","Schoonouwen","Krimpenerwaard                          ","Buurt     ","BU19311007","1","2,5"
"71","Bilwijk","Krimpenerwaard                          ","Buurt     ","BU19311008","1","1,8"
"72","Wijk 11 Vlist","Krimpenerwaard                          ","Wijk      ","WK193111  ","1","1,1"
"73","Vlist","Krimpenerwaard                          ","Buurt     ","BU19311100","1","1,2"
"74","Bonrepas","Krimpenerwaard                          ","Buurt     ","BU19311101","1","0,8"
"75","Wijk 12 Schoonhoven","Krimpenerwaard                          ","Wijk      ","WK193112  ","1","0,8"
"76","Schoonhoven-Oude Stad","Krimpenerwaard                          ","Buurt     ","BU19311200","1","0,2"
"77","Schoonhoven-Noord","Krimpenerwaard                          ","Buurt     ","BU19311201","1","0,6"
"78","Schoonhoven-West","Krimpenerwaard                          ","Buurt     ","BU19311202","1","1,1"
"79","Zevender","Krimpenerwaard                          ","Buurt     ","BU19311203","1","1"
"80","Willige-Langerak","Krimpenerwaard                          ","Buurt     ","BU19311204","1","1"
"81","Vlist, Bovenberg en Lekdijk","Krimpenerwaard                          ","Buurt     ","BU19311205","1","1,1"
"82","Rotterdam","Rotterdam                               ","Gemeente  ","GM0599    ",".","0,7"
"83","Rotterdam Centrum","Rotterdam                               ","Wijk      ","WK059901  ","3","0,2"
"84","Stadsdriehoek","Rotterdam                               ","Buurt     ","BU05990110","1","0,2"
"85","Oude Westen","Rotterdam                               ","Buurt     ","BU05990111","1","0,2"
"86","Cool","Rotterdam                               ","Buurt     ","BU05990112","1","0,1"
"87","Cs Kwartier","Rotterdam                               ","Buurt     ","BU05990113","1","0,2"
"88","Nieuwe Werk","Rotterdam                               ","Buurt     ","BU05990118","3","0,3"
"89","Dijkzigt","Rotterdam                               ","Buurt     ","BU05990119","1","0,4"
"90","Delfshaven","Rotterdam                               ","Wijk      ","WK059903  ","3","0,2"
"91","Delfshaven","Rotterdam                               ","Buurt     ","BU05990320","1","0,3"
"92","Bospolder","Rotterdam                               ","Buurt     ","BU05990321","1","0,1"
"93","Tussendijken","Rotterdam                               ","Buurt     ","BU05990322","1","0,2"
"94","Spangen","Rotterdam                               ","Buurt     ","BU05990323","1","0,2"
"95","Nieuwe Westen","Rotterdam                               ","Buurt     ","BU05990324","1","0,2"
"96","Middelland","Rotterdam                               ","Buurt     ","BU05990325","1","0,1"
"97","Oud Mathenesse","Rotterdam                               ","Buurt     ","BU05990327","1","0,2"
"98","Witte Dorp","Rotterdam                               ","Buurt     ","BU05990328","1","0,3"
"99","Schiemond","Rotterdam                               ","Buurt     ","BU05990329","3","0,4"
"100","Overschie","Rotterdam                               ","Wijk      ","WK059904  ","1","0,6"
"101","Kleinpolder","Rotterdam                               ","Buurt     ","BU05990451","1","0,3"
"102","Noord Kethel","Rotterdam                               ","Buurt     ","BU05990452","1","2,9"
"103","Schieveen","Rotterdam                               ","Buurt     ","BU05990454","1","3,5"
"104","Zestienhoven","Rotterdam                               ","Buurt     ","BU05990455","1","1,4"
"105","Overschie","Rotterdam                               ","Buurt     ","BU05990456","1","0,5"
"106","Landzicht","Rotterdam                               ","Buurt     ","BU05990457","1","0,4"
"107","Noord","Rotterdam                               ","Wijk      ","WK059905  ","1","0,2"
"108","Agniesebuurt","Rotterdam                               ","Buurt     ","BU05990515","1","0,2"
"109","Provenierswijk","Rotterdam                               ","Buurt     ","BU05990516","1","0,2"
"110","Bergpolder","Rotterdam                               ","Buurt     ","BU05990531","1","0,3"
"111","Blijdorp","Rotterdam                               ","Buurt     ","BU05990532","1","0,4"
"112","Liskwartier","Rotterdam                               ","Buurt     ","BU05990534","1","0,2"
"113","Oude Noorden","Rotterdam                               ","Buurt     ","BU05990535","1","0,1"
"114","Blijdorpsepolder","Rotterdam                               ","Buurt     ","BU05990558","1","1,1"
"115","Hillegersberg-Schiebroek","Rotterdam                               ","Wijk      ","WK059906  ","1","1,5"
"116","Schiebroek","Rotterdam                               ","Buurt     ","BU05990660","1","1,5"
"117","Hillegersberg Zuid","Rotterdam                               ","Buurt     ","BU05990661","1","0,2"
"118","Hillegersberg Noord","Rotterdam                               ","Buurt     ","BU05990662","1","1,8"
"119","Terbregge","Rotterdam                               ","Buurt     ","BU05990664","1","2,4"
"120","Molenlaankwartier","Rotterdam                               ","Buurt     ","BU05990665","1","2,2"
"121","Kralingen-Crooswijk","Rotterdam                               ","Wijk      ","WK059908  ","1","0,3"
"122","Rubroek","Rotterdam                               ","Buurt     ","BU05990814","1","0,3"
"123","Nieuw Crooswijk","Rotterdam                               ","Buurt     ","BU05990836","1","0,2"
"124","Oud Crooswijk","Rotterdam                               ","Buurt     ","BU05990837","1","0,2"
"125","Kralingen West","Rotterdam                               ","Buurt     ","BU05990841","1","0,2"
"126","Kralingen Oost","Rotterdam                               ","Buurt     ","BU05990842","1","0,4"
"127","Kralingse Bos","Rotterdam                               ","Buurt     ","BU05990843","1","1,3"
"128","De Esch","Rotterdam                               ","Buurt     ","BU05990845","1","0,7"
"129","Struisenburg","Rotterdam                               ","Buurt     ","BU05990847","1","0,6"
"130","Feijenoord","Rotterdam                               ","Wijk      ","WK059910  ","1","0,3"
"131","Kop van Zuid","Rotterdam                               ","Buurt     ","BU05991017","1","0,5"
"132","Kop van Zuid - Entrepot","Rotterdam                               ","Buurt     ","BU05991079","1","0,4"
"133","Vreewijk","Rotterdam                               ","Buurt     ","BU05991080","1","0,4"
"134","Bloemhof","Rotterdam                               ","Buurt     ","BU05991081","1","0,2"
"135","Hillesluis","Rotterdam                               ","Buurt     ","BU05991082","1","0,2"
"136","Katendrecht","Rotterdam                               ","Buurt     ","BU05991085","1","0,2"
"137","Afrikaanderwijk","Rotterdam                               ","Buurt     ","BU05991086","1","0,1"
"138","Feijenoord","Rotterdam                               ","Buurt     ","BU05991087","1","0,2"
"139","Noordereiland","Rotterdam                               ","Buurt     ","BU05991088","1","0,2"
"140","IJsselmonde","Rotterdam                               ","Wijk      ","WK059912  ","1","0,9"
"141","Oud IJsselmonde","Rotterdam                               ","Buurt     ","BU05991283","1","0,9"
"142","Lombardijen","Rotterdam                               ","Buurt     ","BU05991284","1","0,8"
"143","Groot IJsselmonde","Rotterdam                               ","Buurt     ","BU05991289","1","1,1"
"144","Beverwaard","Rotterdam                               ","Buurt     ","BU05991290","1","0,6"
"145","Pernis","Rotterdam                               ","Wijk      ","WK059913  ","1","5"
"146","Pernis","Rotterdam                               ","Buurt     ","BU05991391","1","5"
"147","Prins Alexander","Rotterdam                               ","Wijk      ","WK059914  ","1","1,2"
"148","'s Gravenland","Rotterdam                               ","Buurt     ","BU05991444","1","2"
"149","Kralingseveer","Rotterdam                               ","Buurt     ","BU05991446","1","0,2"
"150","Prinsenland","Rotterdam                               ","Buurt     ","BU05991448","1","1,2"
"151","Het Lage Land","Rotterdam                               ","Buurt     ","BU05991449","1","0,5"
"152","Ommoord","Rotterdam                               ","Buurt     ","BU05991463","1","1,3"
"153","Zevenkamp","Rotterdam                               ","Buurt     ","BU05991466","1","0,6"
"154","Oosterflank","Rotterdam                               ","Buurt     ","BU05991467","1","0,6"
"155","Nesselande","Rotterdam                               ","Buurt     ","BU05991468","1","2,4"
"156","Charlois","Rotterdam                               ","Wijk      ","WK059915  ","1","0,6"
"157","Charlois Zuidrand","Rotterdam                               ","Buurt     ","BU05991570","1","1,3"
"158","Tarwewijk","Rotterdam                               ","Buurt     ","BU05991571","1","0,2"
"159","Carnisse","Rotterdam                               ","Buurt     ","BU05991572","1","0,3"
"160","Zuidwijk","Rotterdam                               ","Buurt     ","BU05991573","1","1,3"
"161","Oud Charlois","Rotterdam                               ","Buurt     ","BU05991574","1","0,3"
"162","Wielewaal","Rotterdam                               ","Buurt     ","BU05991575","1","0,9"
"163","Zuidplein","Rotterdam                               ","Buurt     ","BU05991576","1","0,3"
"164","Pendrecht","Rotterdam                               ","Buurt     ","BU05991577","1","0,5"
"165","Zuiderpark","Rotterdam                               ","Buurt     ","BU05991578","1","0,7"
"166","Heijplaat","Rotterdam                               ","Buurt     ","BU05991593","1","4,6"
"167","Hoogvliet","Rotterdam                               ","Wijk      ","WK059916  ","1","0,9"
"168","Hoogvliet Noord","Rotterdam                               ","Buurt     ","BU05991692","1","0,9"
"169","Hoogvliet Zuid","Rotterdam                               ","Buurt     ","BU05991699","1","0,8"
"170","Hoek van Holland","Rotterdam                               ","Wijk      ","WK059917  ","1","0,8"
"171","Strand en Duin","Rotterdam                               ","Buurt     ","BU05991701","1","1,5"
"172","Dorp","Rotterdam                               ","Buurt     ","BU05991702","1","0,6"
"173","Rijnpoort","Rotterdam                               ","Buurt     ","BU05991703","1","2,3"
"174","Spaanse Polder","Rotterdam                               ","Wijk      ","WK059918  ","1","0,8"
"175","Spaanse Polder","Rotterdam                               ","Buurt     ","BU05991853","1","0,8"
"176","Nieuw Mathenesse","Rotterdam                               ","Wijk      ","WK059919  ","3","0,4"
"177","Nieuw Mathenesse","Rotterdam                               ","Buurt     ","BU05991926","3","0,4"
"178","Waalhaven-Eemhaven","Rotterdam                               ","Wijk      ","WK059921  ","1","4,1"
"179","Waalhaven","Rotterdam                               ","Buurt     ","BU05992194","1",""
"180","Eemhaven","Rotterdam                               ","Buurt     ","BU05992196","1","4,9"
"181","Waalhaven Zuid","Rotterdam                               ","Buurt     ","BU05992198","1",""
"182","Vondelingenplaat","Rotterdam                               ","Wijk      ","WK059922  ","1",""
"183","Vondelingenplaat","Rotterdam                               ","Buurt     ","BU05992295","1",""
"184","Botlek-Europoort-Maasvlakte","Rotterdam                               ","Wijk      ","WK059923  ","1",""
"185","Botlek","Rotterdam                               ","Buurt     ","BU05992306","1",""
"186","Europoort","Rotterdam                               ","Buurt     ","BU05992307","1",""
"187","Maasvlakte","Rotterdam                               ","Buurt     ","BU05992308","1",""
"188","Rotterdam-Noord-West","Rotterdam                               ","Wijk      ","WK059924  ","1","0,6"
"189","Bedrijvenpark Noord-West","Rotterdam                               ","Buurt     ","BU05992459","1","0,6"
"190","Rivium","Rotterdam                               ","Wijk      ","WK059925  ","1",""
"191","Rivium","Rotterdam                               ","Buurt     ","BU05992540","1",""
"192","Bedrijventerrein Schieveen","Rotterdam                               ","Wijk      ","WK059926  ","1",""
"193","Bedrijventerrein Schieveen","Rotterdam                               ","Buurt     ","BU05992650","1",""
"194","Rozenburg","Rotterdam                               ","Wijk      ","WK059927  ","1","0,7"
"195","Rozenburg","Rotterdam                               ","Buurt     ","BU05992704","1","0,7"
"196","Noordzeeweg","Rotterdam                               ","Buurt     ","BU05992705","1",""
